cutoff,subsystem,ftype,n_fail_cum,gamma,m2,m2_lo95,m2_hi95,m2_rhat
2019-08-31,1,1,0,262.6054626773802,22922.179604269248,26.83936871295367,204538.3087229521,1.0016580550322012
2019-08-31,1,2,0,542.7743080944912,42671.84463622835,26.094692838395858,438012.67945997126,1.0016396662791487
2019-08-31,1,6,0,2190.438421409134,146093.62815518782,34.36548979437901,1313297.7864922453,1.0013571072295229
2019-08-31,2,1,0,144.89494492209542,13002.181171757027,24.216488258300412,127602.36276342347,1.0011652202035646
2019-08-31,2,2,0,212.67909228594056,18991.74397644298,26.02943021350113,171283.763235298,1.0024049965357784
2019-08-31,2,6,0,932.0759483676482,66846.7113029548,28.527829127841056,770392.0719738805,1.00098077071717
2019-08-31,3,1,0,389.544652310332,31125.613793169152,27.86530905291316,335051.62757215125,1.0013681632222593
2019-08-31,3,2,0,1200.28323710112,84518.85917758655,29.46074004315597,918121.0796038659,1.001620840774739
2019-08-31,3,6,0,1809.4286477316073,124304.47502837144,32.19540701749189,1181442.5118385546,1.001257470730638
2019-08-31,4,1,0,473.1893607676583,38136.01067648146,28.227938349852252,370537.7288020808,1.0017484501288603
2019-08-31,4,2,0,1029.9372440454576,74650.66726968801,30.381723008415648,652631.5315536457,1.001727794613822
2019-08-31,4,6,0,4297.899347832349,244662.26902808133,35.73717248481791,2631683.6778034056,1.0012601966220425
2019-08-31,5,1,0,391.8530175089485,34597.86483345318,24.959924927912773,304602.9510661146,1.0017753405186671
2019-08-31,5,2,0,201.7819638231997,18410.18210763803,25.426597109732686,210787.17915801905,1.000870221569682
2019-08-31,5,6,0,604.7668842008304,48270.25769735508,30.332401889553623,530440.44776203,1.0011235924152284
2019-08-31,6,1,0,502.7618987613035,40166.54713555282,27.722170236142624,413547.78867977107,1.0027170290170728
2019-08-31,7,1,0,904.5426960628503,66042.12960196189,28.883371138537168,708308.0967350426,1.0014863145340198
2019-08-31,7,2,0,325.54446715440866,27081.684030187862,27.612680581719403,276027.60492133145,1.001277266321291
2019-08-31,7,6,0,2614.99879971796,162889.94180407582,33.31514814867049,1421169.0476670503,1.0016787821858966
2019-08-31,8,1,0,445.528663784758,36266.45714445753,28.000435304012683,360240.3504474567,1.001261287597741
2019-08-31,8,2,0,221.6247476659051,19711.92545149334,25.671788279426252,229289.93778731077,1.0009672327899066
2019-08-31,8,6,0,1850.503212926679,118370.52571523917,32.393772794910284,1181731.1291905993,1.0016715982099966
2019-08-31,9,1,0,867.6831512805065,62363.9977721554,29.91848312819604,568752.5463071885,1.0025892665167586
2019-08-31,9,2,0,833.780656711964,60823.93728476633,30.703272504058717,600164.2726509931,1.0012145103528343
2019-08-31,9,6,0,4880.11876265983,286502.28193599964,34.66419472964263,3047232.1685772766,1.0015229764137052
2019-08-31,10,1,0,20272.653820546017,896102.392027074,40.06862788940565,8850285.606545638,1.0009216268661003
2019-08-31,10,2,1,9494.226910273008,171.1357840333069,9.168331962976325,1058.5744235885395,1.0008856764093053
2019-08-31,10,6,0,256066.35382054604,8299510.335735932,51.33522088272497,88763771.15004319,1.0011640664049222
2019-08-31,11,1,0,763.8660490251126,58026.78572553432,27.246207554513752,621360.865383258,1.00151738733142
2019-08-31,11,2,0,938.0626777361305,69043.06642654214,29.224469682646564,785889.8478124692,1.0011093220376934
2019-08-31,11,6,0,5681.362357516993,320610.7716813637,35.709262563980204,2990245.7857622746,1.0011254796694606
2019-08-31,12,1,1,381.096184632256,70.79864241208601,9.356935277879627,1018.4632055804223,1.0021332033267556
2019-08-31,12,2,0,285.78051844618125,25629.14618867645,24.681872431216426,268489.0516982789,1.0012059587415476
2019-08-31,12,6,0,1427.7781288732422,97052.97118457232,30.310151733059918,932306.5220881294,1.0010718628858164
2019-08-31,13,1,0,4546.553905592966,251942.046255995,34.220269480874734,2556241.1872234144,1.0014856545709758
2019-08-31,13,2,0,2288.179187686339,149254.0809539391,33.01572388495701,1395847.3683733887,1.0013702394797341
2019-08-31,13,6,0,27137.184477074396,1189224.9438933658,39.20388668895884,10759908.431575174,1.000933299445897
2019-08-31,14,1,0,1525.3281910785247,107942.92217340338,32.63911479543882,1008157.3238226967,1.0012150331800862
2019-08-31,14,2,0,153166.453820546,4829417.16426305,46.80909659097985,53139274.89621012,1.0017394922856149
2019-08-31,14,6,0,831555.453820546,20864070.6117286,54.91558648232591,307309335.4746767,1.001030964235685
2019-08-31,15,1,0,1437.181895126169,106378.98186905745,30.787907165235588,932389.0479328773,1.0011147123346267
2019-08-31,15,2,0,45349.65382054602,1909552.0904500936,42.63442116105637,18664860.576023206,1.0009370378906797
2019-08-31,15,6,0,93189.45382054601,3176895.697401341,44.99527924354166,31118962.107232146,1.0007987391806048
2019-08-31,16,1,0,2204.50923389147,148113.86330160272,31.103454298063653,1366499.6951593827,1.0032595481073407
2019-08-31,17,1,0,1032.7988904603064,75734.579822497,31.061180094180433,681060.3343005416,1.001966391571905
2019-08-31,17,2,0,1142.0684439605625,81877.64631855584,31.628305759619305,731879.0404514851,1.002812652923199
2019-08-31,17,6,0,1959.6573463435877,130200.88237185021,30.387475265050753,1298278.8545287915,1.001625432675966
2019-08-31,18,1,0,1032.674985743552,72726.24240828516,30.013322070220397,705982.9443177268,1.0015787779559908
2019-08-31,18,2,0,1101.4048593309915,77247.86207024279,30.751519485586382,740238.8492997207,1.0015637226268774
2019-08-31,18,6,0,8613.49171143958,442258.9914951841,35.27434682919348,4142488.645704868,1.0016469870914915
2019-08-31,19,1,0,108.92575228031036,10026.035567244387,23.822783528959434,96510.00834889202,1.0010644262856825
2019-08-31,19,2,0,277.67067548687993,23965.946904737324,25.468273586613268,239911.3138901789,1.001322456075019
2019-08-31,19,6,0,374.88315702864986,31387.25489840592,26.61890360070355,388380.08350538276,1.002906541777807
2019-08-31,20,1,0,208.58955146745336,18356.8945701843,24.328358940380713,187376.43378915288,1.0010841111589457
2019-08-31,20,2,0,157.74117124848934,14567.299991425723,23.145699678506073,143537.17177088637,1.00157714584162
