cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m1_rhat,m2,m2_lo95,m2_hi95,m2_rhat,m3,m3_lo95,m3_hi95
2019-08-31,1,1,0,262.6054626773802,1230.9528709614478,59.4223105607946,9734.293013630027,1.0026810225932574,22922.179604269248,26.83936871295367,204538.3087229521,1.0016580550322012,3144.8423298069,1.1895256362936574e-18,363.66131829149657
2019-08-31,1,2,0,542.7743080944912,2482.984535365035,112.84413399393408,19389.397382682633,1.0026810225932574,42671.84463622835,26.094692838395858,438012.67945997126,1.0016396662791487,5497.191683162521,1.7709994362721074e-20,361.6076889316777
2019-08-31,1,6,0,2190.438421409134,9739.268897116124,373.974761469976,83011.76791292011,1.0026810225932574,146093.62815518782,34.36548979437901,1313297.7864922453,1.0013571072295229,17853.94752781276,6.141801269086761e-21,319.58016300973935
2019-08-31,2,1,0,144.89494492209542,675.8204934148213,38.73066106447155,4822.934242445805,1.0026810225932574,13002.181171757027,24.216488258300412,127602.36276342347,1.0011652202035646,2003.8825254052913,6.294324533423763e-16,698.6976350243153
2019-08-31,2,2,0,212.67909228594056,977.237934872627,52.78434468663497,6794.264827577518,1.0026810225932574,18991.74397644298,26.02943021350113,171283.763235298,1.0024049965357784,2682.824369511101,1.5808554470224034e-17,409.85067847289554
2019-08-31,2,6,0,932.0759483676482,4219.076110269058,163.22538230176912,35233.26603397639,1.0026810225932574,66846.7113029548,28.527829127841056,770392.0719738805,1.00098077071717,8521.456749130632,6.5873974176185615e-21,374.824440104964
2019-08-31,3,1,0,389.544652310332,1782.1288070464461,78.44989766220085,15095.217613997143,1.0026810225932574,31125.613793169152,27.86530905291316,335051.62757215125,1.0013681632222593,4244.972578854101,1.4475512276361609e-19,361.61179336850984
2019-08-31,3,2,0,1200.28323710112,5362.515955647031,219.52500003313514,42538.26668223135,1.0026810225932574,84518.85917758655,29.46074004315597,918121.0796038659,1.001620840774739,10544.278075823706,6.5764582289720535e-21,145.74727780302797
2019-08-31,3,6,0,1809.4286477316073,8055.272442564313,312.7215677051294,71317.2677429413,1.0026810225932574,124304.47502837144,32.19540701749189,1181442.5118385546,1.001257470730638,15059.52963909828,6.354373198769342e-21,207.00871376493612
2019-08-31,4,1,0,473.1893607676583,2151.5316189950904,93.25550528104908,17226.36668669205,1.0026810225932574,38136.01067648146,28.227938349852252,370537.7288020808,1.0017484501288603,4935.57750116402,9.821489972739988e-21,299.159352906726
2019-08-31,4,2,0,1029.9372440454576,4612.966227280382,188.0395270409801,36801.27915940545,1.0026810225932574,74650.66726968801,30.381723008415648,652631.5315536457,1.001727794613822,9263.276926490782,6.586772400160844e-21,256.875943531406
2019-08-31,4,6,0,4297.899347832349,19472.676323309915,751.7063580293303,163149.042573187,1.0026810225932574,244662.26902808133,35.73717248481791,2631683.6778034056,1.0012601966220425,33157.10793671825,3.5457731771685e-21,484.18293905399327
2019-08-31,5,1,0,391.8530175089485,1807.5258051064804,83.46215047983327,14176.059234057931,1.0026810225932574,34597.86483345318,24.959924927912773,304602.9510661146,1.0017753405186671,4264.314963147138,1.331089287706917e-19,356.72506071866286
2019-08-31,5,2,0,201.7819638231997,938.2759424875073,48.42055507663481,7220.176837420384,1.0026810225932574,18410.18210763803,25.426597109732686,210787.17915801905,1.000870221569682,2578.5180933082625,4.0680320660976864e-17,452.55237239855586
2019-08-31,5,6,0,604.7668842008304,2730.7804913191057,114.19682161725495,21935.834320137044,1.0026810225932574,48270.25769735508,30.332401889553623,530440.44776203,1.0011235924152284,5990.173231963324,6.587417618551238e-21,378.45854104892015
2019-08-31,6,1,0,502.7618987613035,2295.323443386953,102.97900880382754,17911.31938222434,1.0026810225932574,40166.54713555282,27.722170236142624,413547.78867977107,1.0027170290170728,5175.466002582413,6.5874176181472505e-21,400.5489350148194
2019-08-31,7,1,0,904.5426960628503,4218.466257341847,174.32468573729545,37528.53655673453,1.0026810225932574,66042.12960196189,28.883371138537168,708308.0967350426,1.0014863145340198,8311.794960239726,6.587399722137103e-21,233.54591294150129
2019-08-31,7,2,0,325.54446715440866,1485.2233740147276,67.08762887441597,12365.937181077255,1.0026810225932574,27081.684030187862,27.612680581719403,276027.60492133145,1.001277266321291,3700.4668100194253,2.867151250426919e-19,394.67641667726247
2019-08-31,7,6,0,2614.99879971796,11724.491261649906,418.3072234301453,96896.30428722473,1.0026810225932574,162889.94180407582,33.31514814867049,1421169.0476670503,1.0016787821858966,20952.670036893538,5.762208720930017e-21,315.3556275646096
2019-08-31,8,1,0,445.528663784758,2057.9129154115226,89.61913772603793,16626.809010115863,1.0026810225932574,36266.45714445753,28.000435304012683,360240.3504474567,1.001261287597741,4709.346408317033,4.31586559762627e-20,427.95291435963594
2019-08-31,8,2,0,221.6247476659051,1036.3733886425211,53.61800323296746,7349.937146342307,1.0026810225932574,19711.92545149334,25.671788279426252,229289.93778731077,1.0009672327899066,2767.407977197282,1.324640289760109e-17,544.9604286490902
2019-08-31,8,6,0,1850.503212926679,8248.32769075914,298.797757829224,69205.11646048317,1.0026810225932574,118370.52571523917,32.393772794910284,1181731.1291905993,1.0016715982099966,15361.587007667955,6.53676783644287e-21,270.32676645017534
2019-08-31,9,1,0,867.6831512805065,3976.5580003754194,165.02799550089563,32213.80031730026,1.0026810225932574,62363.9977721554,29.91848312819604,568752.5463071885,1.0025892665167586,8030.37682697298,6.587415608806826e-21,225.12524875042178
2019-08-31,9,2,0,833.780656711964,3693.218488014051,145.2866330048072,30546.667312131754,1.0026810225932574,60823.93728476633,30.703272504058717,600164.2726509931,1.0012145103528343,7770.728943342913,6.587403539802967e-21,387.57067329138465
