cutoff,subsystem,ftype,n_fail_cum,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_lo50,mtbf_hi50,mtbf_hi95,max_rhat,divergences
2019-08-31,1,1,0,459.1947136525888,2243.6797121312447,1131.5742123586351,145.45435103573627,541.797608938227,2469.2605360679063,11157.554534490588,1.0009742062173863,0
2019-08-31,1,2,0,960.0385791318412,4171.493993724168,2121.445367673575,238.84441296352895,998.1223339798812,4710.969953605144,20267.143303807163,1.0009951327259032,1
2019-08-31,1,6,0,3896.0642545776936,14817.56207522998,7183.095638644056,741.1504555441475,3262.591913929069,15851.245966616372,74996.25488946903,1.0012875666233552,0
2019-08-31,2,1,0,246.7557424831502,1261.4230150412423,676.1528903618994,92.2523122451576,335.8407508382809,1412.5611121642962,6067.513666641568,1.0010190196047246,0
2019-08-31,2,2,0,369.45734825303106,1928.0102249681067,986.5854127594863,124.14572101823515,477.9303606181924,2126.270334893477,9289.75850378468,1.0014012869087432,0
2019-08-31,2,6,0,1654.1719823716926,6919.692322887802,3462.770308718925,390.34232338571786,1594.9506478405788,7609.129798888856,35610.787666402815,1.0013527015630443,0
2019-08-31,3,1,0,686.43508472064,3156.3507066905977,1637.7873296140838,188.91510054876915,760.5061431846425,3536.4713714597497,15898.850052007669,1.0013321906072676,0
2019-08-31,3,2,0,2132.115500319989,8431.808543971489,4150.865005836165,453.9363497198566,1874.7993642517079,9379.327434201266,43699.21493676069,1.0011642737982929,0
2019-08-31,3,6,0,3217.349510442659,12886.380243339296,5979.574091967572,642.7520715834921,2734.76052154513,13284.44267043204,65847.3077731455,1.0021771249710367,0
2019-08-31,4,1,0,835.8426543243654,3919.5425665347034,1952.5071721277995,230.41566459596433,906.7277021591361,4241.522211646751,20584.706642124314,1.001465668405303,0
2019-08-31,4,2,0,1828.5741136529327,7688.646709606361,3712.5203048192025,408.1833994201763,1716.7832806204774,8328.357264493547,38882.32154269506,1.0007135687979274,0
2019-08-31,4,6,0,7649.877054267697,26565.662688080924,12782.327885701872,1348.9419010952938,5771.512346078857,28581.17214846279,134809.730744121,1.0011613525478507,0
2019-08-31,5,1,0,690.5606973769816,3253.022118965438,1608.8175340788553,208.55350457204378,778.4868410960453,3487.1462424350616,15952.116489088017,1.0016283404101214,0
2019-08-31,5,2,0,349.8190325272628,1680.6801565564779,907.5274871530019,114.52319122584392,438.24260230834795,1891.4025972581167,7775.624394796484,1.000960510379622,0
2019-08-31,5,6,0,1070.6349135189885,4878.7810912430905,2438.75905672348,266.29477014793065,1097.490075352764,5316.496704415707,24693.07233164199,1.0012317473797907,0
2019-08-31,6,1,0,888.6324820686176,4126.455123460989,2006.0347763623276,229.3691774443242,936.641188786621,4408.071758923591,21263.92546233683,1.0014799188561565,0
2019-08-31,7,1,0,1605.100166818554,6854.163654324149,3359.0579028329266,379.4299646855311,1522.4538942224722,7483.053301309335,35241.469066612226,1.002068700827374,0
2019-08-31,7,2,0,571.9737473330974,2749.681245911711,1381.914180950259,168.8987034458357,659.5188215622572,2946.5443583383117,14187.373282912604,1.0022283029418548,0
2019-08-31,7,6,0,4652.323655751367,17590.29882102597,8437.156053790131,828.1078208518828,3728.828815418453,19281.236873629758,89572.0853218093,1.001289706421115,0
2019-08-31,8,1,0,786.4519106432429,3505.8792210690535,1793.639518754623,215.69325282492827,843.2780558332768,3876.665233802037,17518.561402951338,1.0016721119840288,0
2019-08-31,8,2,0,385.56237859805515,1947.8284059756122,1031.9810211969536,128.4056254937025,484.35668893312,2137.7767374257996,9694.879985650252,1.0008750139692362,0
2019-08-31,8,6,0,3290.519970800689,12869.42923497839,6117.19022490283,602.5378298882142,2830.1266456411904,13352.553087295697,66087.68196796752,1.0013138645370827,0
2019-08-31,9,1,0,1539.4032345038693,6544.261200511986,3169.5857513412166,352.16837349953335,1480.3806821424416,7215.166643028763,34153.97563745948,1.0010593075488619,0
2019-08-31,9,2,0,1478.9733294072594,6378.338429370751,3112.324313400713,352.9175125972847,1404.7726988849624,6810.460868228025,32291.669528925144,1.0013436556414879,0
2019-08-31,9,6,0,8686.888549922189,31041.102651114445,14522.749797403227,1386.902091863328,6366.67741912734,32967.09811570165,160930.83932515595,1.001895840116442,0
2019-08-31,10,1,0,36102.33313312883,117289.82766742336,53663.89143773752,4986.740328894516,23376.15520729617,121930.69620296365,619411.7201782729,1.0010484704013105,0
2019-08-31,10,2,1,18471.6148369524,51405.44895251448,23404.510067886455,2338.2529680613598,10211.445764191862,53874.60167031049,282490.0114946241,1.0013161250705638,0
2019-08-31,10,6,0,456068.0635808024,1299922.4644955113,582154.0814763226,51544.73839992777,246721.42692443455,1393021.6010480237,7093617.327242968,1.0020281043885528,0
2019-08-31,11,1,0,1354.3407217195177,5788.936850187638,2849.362136774799,331.69077264992535,1316.9151080202346,6255.9105317943095,28729.261170229296,1.0014123572364384,0
2019-08-31,11,2,0,1664.841734821578,6893.823700691803,3437.179991881732,370.3052466757111,1581.692106348223,7537.578653912171,35168.62066694641,1.0013043058716955,0
2019-08-31,11,6,0,10114.000405506784,36484.804198070065,16880.327959355523,1593.0354864569435,7532.945183173783,38174.05581841865,185693.27202873872,1.0014336526492207,0
2019-08-31,12,1,1,1353.0716222970564,4422.7506032771935,2112.548884494803,248.6069754177105,979.3685479736907,4806.461718255826,22112.703640596348,1.0014786757140643,0
2019-08-31,12,2,0,500.75529740581004,2522.06960443653,1264.4654215403798,154.57645472067804,597.3345821155332,2750.3925864919543,12270.896695193826,1.0021708979791522,0
2019-08-31,12,6,0,2537.4409977274427,10275.57188006104,4798.425999303141,518.1789361477066,2226.909399144874,10702.197181375926,52615.319142624525,1.000797349934985,0
2019-08-31,13,1,0,8092.765483766959,29269.894925972676,13586.616535788919,1339.6985555115584,6164.807384801454,31504.15591787341,156172.4073420347,1.0019434934991367,0
2019-08-31,13,2,0,4070.1701639412045,15988.875217142437,7687.607957408259,774.840502408229,3411.835251685939,17132.083985248504,85215.78946394536,1.00117150189956,0
2019-08-31,13,6,0,48328.57940913518,160473.1528111313,71354.31647773701,6336.002836345141,30840.94172045534,160485.37825440685,814495.4898015314,1.0010957803159701,0
2019-08-31,14,1,0,2711.2330142297,10873.327431338872,5306.241810580863,548.5267959802318,2404.9087772080984,11818.607663638526,55031.45561599762,1.0011477271806486,0
2019-08-31,14,2,0,272795.88538886805,766588.3956056843,356539.419243051,34753.04801741419,152058.39293781223,829981.1605202658,3962955.8381453026,1.0010387080032004,0
2019-08-31,14,6,0,1481055.8311061396,4167905.252154895,1899768.6665247453,165736.68723196883,817726.4813221447,4383977.534988219,21183074.82795348,1.0016918133863817,0
2019-08-31,15,1,0,2554.194705490626,10619.829197447016,4982.784093397369,546.0580497193155,2315.0656047181,11442.660767543184,54346.728087856216,1.0009761205396517,0
2019-08-31,15,2,0,80766.33053969636,249612.48723075795,115095.88538507641,10442.208943274636,50548.133507660415,267858.83504682087,1325536.351118717,1.0012539306571915,0
2019-08-31,15,6,0,165972.49781900647,506184.20193101757,224236.35748429497,19337.838950122816,95728.89680087523,533133.9074650556,2620896.7903840467,1.0018564605436036,1
2019-08-31,16,1,0,3921.1287436205052,14728.064913820956,7047.673020720633,762.7236500368188,3303.35269222567,15883.826474981892,76515.1489693444,1.0010368587061451,1
2019-08-31,17,1,0,1833.673676541715,7762.531257725643,3692.043754593651,410.6804201037852,1696.7884134560904,8359.050890958235,41593.35899464196,1.0013438742758964,0
2019-08-31,17,2,0,2028.386417986521,8398.094933456156,4122.429099552004,436.4481890208692,1806.0240406123205,9116.11947939192,42076.167864451054,1.001235807985252,0
2019-08-31,17,6,0,3484.9651918152867,13161.074028780115,6426.23788301961,639.1969150332454,2872.3187886378705,14230.703460565523,68273.59454033147,1.0012027421910632,0
2019-08-31,18,1,0,1833.4528739161162,7472.665498183515,3691.8514574292976,418.15526406280003,1730.5076592111325,8134.548922711686,39246.22592875648,1.0017031957620117,0
2019-08-31,18,2,0,1955.9280778335567,7957.289414804856,4007.1731405518126,416.2068475233955,1814.3445457285798,8685.691953043628,40493.72735890513,1.0024629745797387,0
2019-08-31,18,6,0,15336.419575192578,51755.81685108837,24381.060894057606,2387.0225768797345,10698.572943456127,54502.20997802058,267978.0853350361,1.002542821506357,0
2019-08-31,19,1,0,180.6650811339995,959.8973726084674,519.8936620984746,75.3096477353536,250.2497686887823,1080.8073666601776,4466.258701489548,1.0014530517438063,0
2019-08-31,19,2,0,486.2168757322114,2347.0824664596507,1213.2002287649614,154.92805916429103,567.1207715301917,2586.2616166923426,11957.626821912407,1.0014788408463717,0
2019-08-31,19,6,0,660.2274595643014,3094.965612922751,1587.9330957344519,183.70511626027672,733.0073809990772,3449.6245434635703,15137.260291223738,1.0008736966356475,0
2019-08-31,20,1,0,362.09009702764575,1789.359079878048,938.6124110407293,125.17785488316305,455.0538875802541,2014.4129515147233,8709.419106164081,1.0010522623186213,0
2019-08-31,20,2,0,270.13704659682077,1376.9255042843638,740.3889998673715,97.96557948636648,357.0293124260058,1520.0502488891204,6894.779911311226,1.0015550658023251,0
2019-08-31,20,6,0,1800.0996492874785,7502.415946053736,3599.8791448202983,411.54459116707034,1669.2387899667347,8015.202597702606,38419.93799321339,1.0013761647743424,0
2019-08-31,21,1,0,1885.3543638925544,7893.001355333993,3869.3838078695853,415.0772105646831,1807.8178810811899,8522.63028330692,40761.309863216564,1.0020267294175524,0
2019-08-31,22,1,0,3668.182500300467,14197.916531797531,6853.62412202751,668.9231797301162,3059.7748799680267,14927.91113493216,75025.29208664919,1.001382351118172,1
2019-08-31,22,2,0,29338.57533940116,93044.29798146404,44359.740516748396,4146.262433778433,19905.882136766242,101985.97833995201,492756.1612364065,1.0012038360423066,0
2019-08-31,22,6,0,100997.62790269702,294917.70524757274,143784.16568106425,12491.765436284724,61294.7600202948,327311.82866680017,1509976.4485252919,1.0013434970893955,0
2019-08-31,23,1,0,821.0882631502984,3860.7864533033203,1853.985852426455,202.5519490675052,834.3499395413924,4210.097472962546,20048.061076044978,1.0016154322317807,0
2019-08-31,23,2,0,1299.8761653320582,5561.15347992076,2716.1552285285634,295.6842516723412,1251.6212662671205,5975.409615355039,28435.160547055413,1.0010070958904536,0
2019-08-31,23,6,0,5104.0628868255635,19591.122785653002,9120.4987166068,873.3392643349941,4098.874937317956,20958.06563721328,105814.8950658168,1.0011493851936282,0
2019-08-31,24,1,0,7936.929000871273,29209.653032398848,13257.698083211166,1314.8876854786226,5787.722056695659,30442.059626372553,158704.18397675228,1.001142316645028,1
2019-08-31,24,2,0,7302.215095500955,28654.133945686553,12503.581272009393,1193.400403125502,5554.469901154831,29110.900895595227,156255.57273232518,1.0013425032941188,0
2019-08-31,24,6,0,53988.78268846238,170214.2727173838,77913.41970367484,6782.120593325243,33667.245905112824,179712.6869301129,904134.1518271363,1.0018815938232402,0
2019-08-31,25,1,0,1069.6618071794553,4669.7655637803855,2363.606615607371,273.1048788560013,1084.3394940397432,5146.0665759668045,22875.69102222244,1.001863254489406,0
2019-08-31,26,1,0,2058.8956581392135,8719.42069782612,4078.8543784312815,454.62147393723114,1864.9674135523846,9112.612288380991,45223.16970340941,1.0022818667253226,0
2019-08-31,26,2,0,36493.1272343651,114031.78064704635,55394.63803665496,5137.350205078082,24285.10906853833,127652.56547663691,578906.21672124,1.0016377942119468,0
2019-08-31,26,6,0,67936.19522710486,211725.30359315826,97621.57702283093,8256.114214682613,42685.861607703126,219631.0298258306,1101540.7158015862,1.0012819670563224,0
2019-08-31,27,1,0,406.3848374573919,2088.7148882501538,1048.5889615468109,137.0111204619304,505.83052552351865,2288.953295664652,10566.100106942547,1.0018218265319516,0
2019-08-31,27,2,0,241.62112363057332,1207.121949459622,655.7798081485664,96.12745992716623,326.7113612499155,1350.5164146876498,5617.448105622943,1.0010260447913266,0
2019-08-31,27,6,0,1825.9855391406056,7324.133687517308,3612.12878804198,409.38212099334106,1660.3611730545788,7977.664318609703,37030.702608045816,1.0012803368801675,0
2019-08-31,28,1,0,60398.154716884805,188461.1402401994,84708.26190629862,8044.186862877001,37751.18969798545,199450.56562603285,992564.4045440186,1.002194608918536,0
2019-08-31,29,1,0,700.7425441231262,3159.8214341777793,1660.1017458512893,189.890044056064,770.581449717931,3474.3302517674265,15452.136727659476,1.001804608432703,0
2019-08-31,29,2,0,1591.436606549565,6792.830021253849,3277.7683858533583,359.2775360851273,1489.3952858904402,7322.521638947521,33539.72229736342,1.0024159312835472,0
2019-08-31,29,6,0,6290.910464107351,22280.66621413593,10883.576860322113,1062.6263786528523,4813.204567198049,25169.381633516678,112958.05832797202,1.0018958640108442,0
2019-09-30,1,1,0,475.669863063667,2418.2804673375963,1266.6802433703122,169.4563812079194,621.0780880571342,2652.432919594279,11695.110980309135,1.0006827663339788,0
2019-09-30,1,2,0,977.5200866251837,4680.835807928762,2377.402631145984,267.0833885545916,1077.0381035280052,5154.154088170982,22667.95219479159,1.0013973402024592,0
2019-09-30,1,6,0,3914.29052769672,15630.7999260264,7528.574899251612,826.6848910286709,3442.9105150508744,16715.275067463997,78961.42810676487,1.0017562960339212,0
